Year,Quarter,Index
1978,1,76.05
1978,2,79.97
1978,3,84.03
1978,4,87.35
1979,1,91.71
1979,2,94.46
1979,3,97.45
1979,4,99.38
1980,1,100
1980,2,102.26
1980,3,107.14
1980,4,106.58
1981,1,106.5
1981,2,108.49
1981,3,114.6
1981,4,110.32
1982,1,119.61
1982,2,120.71
1982,3,122.5
1982,4,126.4
1983,1,126.16
1983,2,125.13
1983,3,126.3
1983,4,121.94
1984,1,126.14
1984,2,125.46
1984,3,125.71
1984,4,123.39
1985,1,126.3
1985,2,125.47
1985,3,126.53
1985,4,124.16
1986,1,128.76
1986,2,129.47
1986,3,128.61
1986,4,127.93
1987,1,129.66
1987,2,128.14
1987,3,125.44
1987,4,124.36
1988,1,125.4
1988,2,125.03
1988,3,123.79
1988,4,123.41
1989,1,123.43
1989,2,124.32
1989,3,126.85
1989,4,126.36
1990,1,126.98
1990,2,128.03
1990,3,129
1990,4,129.31
1991,1,130.75
1991,2,132.42
1991,3,133.59
1991,4,135.84
1992,1,137.75
1992,2,140.83
1992,3,143.9
1992,4,146.61
1993,1,149.3
1993,2,152.95
1993,3,157.28
1993,4,161.16
1994,1,165.88
1994,2,173.52
1994,3,177.82
1994,4,179.31
1995,1,182.61
1995,2,186.23
1995,3,189.93
1995,4,192.83
1996,1,195.2
1996,2,197.71
1996,3,199.9
1996,4,202.65
1997,1,204.79
1997,2,207.45
1997,3,210.77
1997,4,214.05
1998,1,217.06
1998,2,219.69
1998,3,223.69
1998,4,226.42
1999,1,230.81
1999,2,237.89
1999,3,245.74
1999,4,250
2000,1,259.43
2000,2,265.82
2000,3,272.76
2000,4,278.87
2001,1,286.68
2001,2,292.51
2001,3,297.91
2001,4,300.33
2002,1,303.84
2002,2,307.17
2002,3,311.55
2002,4,313.46
2003,1,314.34
2003,2,315.7
2003,3,317.13
2003,4,320.75
2004,1,323.16
2004,2,325.66
2004,3,330.17
2004,4,333.38
2005,1,336.89
2005,2,341.84
2005,3,347.19
2005,4,350.58
2006,1,351.61
2006,2,353.46
2006,3,355.01
2006,4,358.36
2007,1,359.21
2007,2,360.19
2007,3,357.85
2007,4,358.74
2008,1,360.66
2008,2,358.5
2008,3,351.47
2008,4,352.51
2009,1,359.03
2009,2,353.17
2009,3,344.85
2009,4,343.92
2010,1,340.04
2010,2,336.09
2010,3,340.29
2010,4,338.8
2011,1,330.22
2011,2,324.41
2011,3,327.7
2011,4,330.64
2012,1,328.88
2012,2,329.73
2012,3,335.13
2012,4,338.17
2013,1,342.31
2013,2,349.3
2013,3,357.84
2013,4,360.87
2014,1,365.9
2014,2,378.48
2014,3,386.85
2014,4,392.57
2015,1,400.09
2015,2,416.71
2015,3,431.69
2015,4,437.69
2016,1,445.49
2016,2,461.15
2016,3,473.73
2016,4,480.52
2017,1,488.66
2017,2,505.8
2017,3,513.87
2017,4,521.03
2018,1,534.88
2018,2,548.61
2018,3,556.94
2018,4,558.58
2019,1,566.24
2019,2,575.19
2019,3,580.47
2019,4,585.31
2020,1,591.67
2020,2,598.64
2020,3,608.04
2020,4,620.49
2021,1,637.11
2021,2,683.15
2021,3,723.87
2021,4,744.11
2022,1,775.74
2022,2,837.24
2022,3,829.33
