Year,Quarter,Index
1978,1,41.96
1978,2,44.3
1978,3,46.97
1978,4,49.1
1979,1,51.54
1979,2,53.08
1979,3,55.18
1979,4,55.18
1980,1,56.55
1980,2,57.98
1980,3,60.5
1980,4,60.16
1981,1,61.88
1981,2,62.72
1981,3,65.22
1981,4,65.46
1982,1,68.36
1982,2,68.56
1982,3,70.28
1982,4,72.86
1983,1,72.15
1983,2,72.16
1983,3,73.27
1983,4,71.39
1984,1,73.53
1984,2,73.51
1984,3,74.29
1984,4,72.52
1985,1,73.68
1985,2,73.84
1985,3,73.78
1985,4,72.46
1986,1,74.76
1986,2,74.84
1986,3,74.7
1986,4,74.17
1987,1,74.45
1987,2,73.47
1987,3,72.81
1987,4,71.04
1988,1,71.55
1988,2,71.58
1988,3,70.77
1988,4,70.09
1989,1,70.09
1989,2,70.36
1989,3,71.64
1989,4,71.15
1990,1,71.21
1990,2,71.99
1990,3,72.5
1990,4,72.89
1991,1,73.25
1991,2,74.41
1991,3,74.89
1991,4,75.99
1992,1,77.34
1992,2,78.78
1992,3,80.57
1992,4,81.81
1993,1,83.23
1993,2,84.85
1993,3,87.2
1993,4,89.07
1994,1,91.51
1994,2,95.52
1994,3,97.62
1994,4,98.22
1995,1,100
1995,2,101.89
1995,3,103.74
1995,4,105.38
1996,1,106.32
1996,2,107.62
1996,3,108.89
1996,4,110.54
1997,1,112.07
1997,2,113.62
1997,3,115.52
1997,4,117.39
1998,1,119
1998,2,120.76
1998,3,123.52
1998,4,125.13
1999,1,127.89
1999,2,132.91
1999,3,138.5
1999,4,141.37
2000,1,147.29
2000,2,152.08
2000,3,156.57
2000,4,160.61
2001,1,164.87
2001,2,168.62
2001,3,171.96
2001,4,173.19
2002,1,175.16
2002,2,177.22
2002,3,179.31
2002,4,180.22
2003,1,180.63
2003,2,181.27
2003,3,181.77
2003,4,184.16
2004,1,185.37
2004,2,186.07
2004,3,188.32
2004,4,189.93
2005,1,191.61
2005,2,193.22
2005,3,195.35
2005,4,196.95
2006,1,196.02
2006,2,196.15
2006,3,195.92
2006,4,196.81
2007,1,195.62
2007,2,195.28
2007,3,192.07
2007,4,192.82
2008,1,193.22
2008,2,191.62
2008,3,187.75
2008,4,188.77
2009,1,193.01
2009,2,190.52
2009,3,186.48
2009,4,186.86
2010,1,185.73
2010,2,184.12
2010,3,187.12
2010,4,186.75
2011,1,182.38
2011,2,179.2
2011,3,181.67
2011,4,183.17
2012,1,182.59
2012,2,184.66
2012,3,187.78
2012,4,190.04
2013,1,193.28
2013,2,198.84
2013,3,205.64
2013,4,208.3
2014,1,211.74
2014,2,220.32
2014,3,225.31
2014,4,229.47
2015,1,234.1
2015,2,245.45
2015,3,254.71
2015,4,258.93
2016,1,264.21
2016,2,274.01
2016,3,281.5
2016,4,285.51
2017,1,291.97
2017,2,303.05
2017,3,307.75
2017,4,312.39
2018,1,320.77
2018,2,329.72
2018,3,334.12
2018,4,334.3
2019,1,338.47
2019,2,343.31
2019,3,345.55
2019,4,348.04
2020,1,351.48
2020,2,355.28
2020,3,361.19
2020,4,367.98
2021,1,378.41
2021,2,406.03
2021,3,429.14
2021,4,440.22
2022,1,460.16
2022,2,498.63
2022,3,487.23
