Year,Month,Index
1991,1,100
1991,2,100.46
1991,3,100.48
1991,4,100.34
1991,5,100.39
1991,6,100.51
1991,7,100.55
1991,8,100.38
1991,9,100.62
1991,10,100.93
1991,11,101.43
1991,12,101.88
1992,1,102.24
1992,2,102.97
1992,3,102.82
1992,4,102.57
1992,5,102.59
1992,6,102.53
1992,7,102.87
1992,8,103.33
1992,9,103.72
1992,10,104.04
1992,11,104.31
1992,12,104.22
1993,1,104.27
1993,2,104.07
1993,3,104.39
1993,4,105.03
1993,5,105.27
1993,6,105.62
1993,7,105.68
1993,8,106.07
1993,9,106.46
1993,10,106.68
1993,11,107.01
1993,12,107.53
1994,1,107.78
1994,2,108.02
1994,3,108.39
1994,4,108.72
1994,5,109.08
1994,6,109.26
1994,7,109.38
1994,8,109.66
1994,9,109.72
1994,10,110
1994,11,110.24
1994,12,110.23
1995,1,110.54
1995,2,111.13
1995,3,110.99
1995,4,111.24
1995,5,111.38
1995,6,111.76
1995,7,112.28
1995,8,112.57
1995,9,112.82
1995,10,112.87
1995,11,113.1
1995,12,113.57
1996,1,113.98
1996,2,114.14
1996,3,114.57
1996,4,114.83
1996,5,115.09
1996,6,115.2
1996,7,115.58
1996,8,115.59
1996,9,115.89
1996,10,116
1996,11,116.33
1996,12,116.68
1997,1,116.84
1997,2,117.12
1997,3,117.58
1997,4,117.81
1997,5,118.25
1997,6,118.28
1997,7,118.6
1997,8,119.03
1997,9,119.19
1997,10,119.81
1997,11,120.21
1997,12,120.6
1998,1,121.05
1998,2,121.91
1998,3,122.31
1998,4,122.87
1998,5,123.35
1998,6,124.14
1998,7,124.47
1998,8,124.98
1998,9,125.79
1998,10,126.31
1998,11,127.14
1998,12,127.73
1999,1,128.45
1999,2,128.96
1999,3,129.55
1999,4,130.16
1999,5,130.94
1999,6,131.56
1999,7,132.28
1999,8,133.08
1999,9,133.47
1999,10,134.26
1999,11,134.83
1999,12,135.51
2000,1,137.09
2000,2,136.9
2000,3,137.96
2000,4,138.91
2000,5,139.48
2000,6,140.45
2000,7,141.17
2000,8,141.72
2000,9,142.59
2000,10,143.38
2000,11,144.26
2000,12,145.12
2001,1,146.03
2001,2,147.03
2001,3,147.82
2001,4,148.69
2001,5,149.35
2001,6,150.07
2001,7,150.9
2001,8,151.62
2001,9,152.41
2001,10,153.36
2001,11,153.82
2001,12,154.82
2002,1,155.7
2002,2,156.59
2002,3,157.61
2002,4,158.44
2002,5,159.5
2002,6,160.53
2002,7,161.52
2002,8,162.57
2002,9,163.56
2002,10,164.7
2002,11,165.66
2002,12,166.87
2003,1,167.88
2003,2,168.93
2003,3,169.5
2003,4,170.55
2003,5,171.46
2003,6,172.29
2003,7,173.55
2003,8,174.82
2003,9,176.24
2003,10,177.27
2003,11,178.66
2003,12,180.15
2004,1,181.31
2004,2,182.68
2004,3,184.03
2004,4,185.56
2004,5,187.3
2004,6,189.25
2004,7,190.77
2004,8,192.14
2004,9,193.64
2004,10,195.11
2004,11,196.87
2004,12,198.61
2005,1,200.03
2005,2,201.45
2005,3,203.5
2005,4,205.33
2005,5,206.99
2005,6,208.8
2005,7,210.9
2005,8,212.4
2005,9,214.35
2005,10,215.57
2005,11,216.96
2005,12,218.27
2006,1,219.66
2006,2,220.04
2006,3,220.9
2006,4,221.33
2006,5,221.9
2006,6,221.88
2006,7,221.74
2006,8,222.34
2006,9,222.31
2006,10,222.55
2006,11,223.21
2006,12,223.29
2007,1,224.06
2007,2,224.1
2007,3,225.01
2007,4,225.07
2007,5,223.96
2007,6,223.09
2007,7,222
2007,8,220.97
2007,9,220.16
2007,10,218.29
2007,11,216.81
2007,12,215.71
2008,1,213.86
2008,2,212.5
2008,3,210.69
2008,4,208.33
2008,5,206.05
2008,6,204.71
2008,7,202.84
2008,8,200.73
2008,9,198.98
2008,10,197.29
2008,11,193.82
2008,12,193.25
2009,1,194.79
2009,2,195.04
2009,3,192.81
2009,4,191.57
2009,5,191.42
2009,6,191.36
2009,7,190.74
2009,8,190.48
2009,9,190.28
2009,10,190.6
2009,11,191.22
2009,12,189.39
2010,1,189.39
2010,2,188.62
2010,3,188.44
2010,4,188.69
2010,5,188.69
2010,6,186.72
2010,7,185.56
2010,8,185.37
2010,9,183.63
2010,10,183.87
2010,11,183.29
2010,12,181.97
2011,1,180.84
2011,2,179.29
2011,3,177.29
2011,4,177.72
2011,5,177.29
2011,6,177.8
2011,7,178.17
2011,8,177.65
2011,9,178.72
2011,10,177.76
2011,11,178.51
2011,12,179.12
2012,1,178.34
2012,2,178.74
2012,3,180.33
2012,4,181.24
2012,5,182.33
2012,6,183.06
2012,7,183.44
2012,8,184.73
2012,9,185.47
2012,10,186.34
2012,11,187.2
2012,12,188.14
2013,1,189.47
2013,2,190.68
2013,3,192.6
2013,4,193.59
2013,5,195.12
2013,6,196.32
2013,7,197.45
2013,8,198
2013,9,199.06
2013,10,199.54
2013,11,199.67
2013,12,200.82
2014,1,201.63
2014,2,202.46
2014,3,203.04
2014,4,203.78
2014,5,204.17
2014,6,205.21
2014,7,206.08
2014,8,206.82
2014,9,207.05
2014,10,208.21
2014,11,209.24
2014,12,210.58
2015,1,210.74
2015,2,212.37
2015,3,213.09
2015,4,213.84
2015,5,215.06
2015,6,215.97
2015,7,216.95
2015,8,217.44
2015,9,218.51
2015,10,219.77
2015,11,220.85
2015,12,221.84
2016,1,222.73
2016,2,222.94
