Year,Quarter,Index
1978,1,35.34
1978,2,36.85
1978,3,38.34
1978,4,40.14
1979,1,42.03
1979,2,42.44
1979,3,44.35
1979,4,43.91
1980,1,46.6
1980,2,44.24
1980,3,46.93
1980,4,47.14
1981,1,47.1
1981,2,45.23
1981,3,52.09
1981,4,52.12
1982,1,57.1
1982,2,58.64
1982,3,53.22
1982,4,56.24
1983,1,56.08
1983,2,55.67
1983,3,55.41
1983,4,52.99
1984,1,56.46
1984,2,57.33
1984,3,57.6
1984,4,56.86
1985,1,58.87
1985,2,58.33
1985,3,58.37
1985,4,57.39
1986,1,60.43
1986,2,60.83
1986,3,61.05
1986,4,60.01
1987,1,61.68
1987,2,61.82
1987,3,60.3
1987,4,60.58
1988,1,60.97
1988,2,60.68
1988,3,61.05
1988,4,62.3
1989,1,61.66
1989,2,62.35
1989,3,63.58
1989,4,63.61
1990,1,64.57
1990,2,64.25
1990,3,64.58
1990,4,65.13
1991,1,66.82
1991,2,67.09
1991,3,68.58
1991,4,70.13
1992,1,71.19
1992,2,74.29
1992,3,75.88
1992,4,78.31
1993,1,80.58
1993,2,82.97
1993,3,85.81
1993,4,88.26
1994,1,92.6
1994,2,96.9
1994,3,99.09
1994,4,99.29
1995,1,100.0
1995,2,102.94
1995,3,104.05
1995,4,105.19
1996,1,105.8
1996,2,106.75
1996,3,107.13
1996,4,109.82
1997,1,109.93
1997,2,111.33
1997,3,112.87
1997,4,114.87
1998,1,116.44
1998,2,117.39
1998,3,120.2
1998,4,121.74
1999,1,124.05
1999,2,128.71
1999,3,135.24
1999,4,137.41
2000,1,143.59
2000,2,149.62
2000,3,154.66
2000,4,157.69
2001,1,162.89
2001,2,166.45
2001,3,171.34
2001,4,171.59
2002,1,173.26
2002,2,174.93
2002,3,176.86
2002,4,177.86
2003,1,177.77
2003,2,177.96
2003,3,178.27
2003,4,179.25
2004,1,179.82
2004,2,181.92
2004,3,184.75
2004,4,185.62
2005,1,188.58
2005,2,190.89
2005,3,193.45
2005,4,192.34
2006,1,193.48
2006,2,195.25
2006,3,194.89
2006,4,196.19
2007,1,195.6
2007,2,197.91
2007,3,197.9
2007,4,199.51
2008,1,200.75
2008,2,200.45
2008,3,199.79
2008,4,200.69
2009,1,202.24
2009,2,200.1
2009,3,197.54
2009,4,197.61
2010,1,196.06
2010,2,195.47
2010,3,197.48
2010,4,197.33
2011,1,192.22
2011,2,191.88
2011,3,193.48
2011,4,195.02
2012,1,195.38
2012,2,194.85
2012,3,197.94
2012,4,199.02
2013,1,201.3
2013,2,205.96
2013,3,210.99
2013,4,211.63
2014,1,216.3
2014,2,223.19
2014,3,227.85
2014,4,230.47
2015,1,234.47
2015,2,244.66
2015,3,256.11
2015,4,260.91
2016,1,266.49
2016,2,277.77
2016,3,283.53
2016,4,288.15
2017,1,294.86
2017,2,305.31
2017,3,304.72
2017,4,310.35
2018,1,316.63
2018,2,325.49
2018,3,329.81
2018,4,331.82
2019,1,334.07
2019,2,337.88
2019,3,338.88
2019,4,340.98
2020,1,343.4
2020,2,343.57
2020,3,348.35
2020,4,354.41
2021,1,357.99
2021,2,384.93
2021,3,408.64
2021,4,415.12
2022,1,435.94
2022,2,476.62
2022,3,466.82
2022,4,458.7
2023,1,447.35
2023,2,466.71
2023,3,464.44
2023,4,465.84
2024,1,468.31
2024,2,468.5
2024,3,475.03
2024,4,474.02
2025,1,481.53
2025,2,481.77
2025,3,475.23
2025,4,481.02
