Year,Quarter,Index
1975,1,54.56
1975,2,54.58
1975,3,55.45
1975,4,54.69
1976,1,55.21
1976,2,59.99
1976,3,60.04
1976,4,62.18
1977,1,64.83
1977,2,65.52
1977,3,69.2
1977,4,72.96
1978,1,76.04
1978,2,79.93
1978,3,83.9
1978,4,87.43
1979,1,91.57
1979,2,94.46
1979,3,97.63
1979,4,99.32
1980,1,100.0
1980,2,102.74
1980,3,107.43
1980,4,106.54
1981,1,106.48
1981,2,108.56
1981,3,114.28
1981,4,110.42
1982,1,119.62
1982,2,120.96
1982,3,122.65
1982,4,126.22
1983,1,126.28
1983,2,125.29
1983,3,126.39
1983,4,121.65
1984,1,125.89
1984,2,125.38
1984,3,125.67
1984,4,123.29
1985,1,126.14
1985,2,125.4
1985,3,126.36
1985,4,124.13
1986,1,128.79
1986,2,129.35
1986,3,128.57
1986,4,127.85
1987,1,129.65
1987,2,128.07
1987,3,125.37
1987,4,124.18
1988,1,125.34
1988,2,125.0
1988,3,123.8
1988,4,123.44
1989,1,123.39
1989,2,124.44
1989,3,126.77
1989,4,126.4
1990,1,127.01
1990,2,127.97
1990,3,129.02
1990,4,129.23
1991,1,130.74
1991,2,132.34
1991,3,133.59
1991,4,135.87
1992,1,137.74
1992,2,140.77
1992,3,143.9
1992,4,146.57
1993,1,149.27
1993,2,152.94
1993,3,157.3
1993,4,161.2
1994,1,165.89
1994,2,173.51
1994,3,177.9
1994,4,179.32
1995,1,182.68
1995,2,186.23
1995,3,189.94
1995,4,192.85
1996,1,195.26
1996,2,197.68
1996,3,199.97
1996,4,202.61
1997,1,204.82
1997,2,207.48
1997,3,210.79
1997,4,214.1
1998,1,217.07
1998,2,219.73
1998,3,223.76
1998,4,226.46
1999,1,230.79
1999,2,237.9
1999,3,245.81
1999,4,250.07
2000,1,259.43
2000,2,265.87
2000,3,272.78
2000,4,278.92
2001,1,286.72
2001,2,292.52
2001,3,297.97
2001,4,300.33
2002,1,303.85
2002,2,307.19
2002,3,311.57
2002,4,313.47
2003,1,314.39
2003,2,315.73
2003,3,317.14
2003,4,320.78
2004,1,323.24
2004,2,325.66
2004,3,330.31
2004,4,333.47
2005,1,337.01
2005,2,341.95
2005,3,347.27
2005,4,350.75
2006,1,351.74
2006,2,353.45
2006,3,355.2
2006,4,358.44
2007,1,359.33
2007,2,360.35
2007,3,358.08
2007,4,359.06
2008,1,360.9
2008,2,358.71
2008,3,351.6
2008,4,352.62
2009,1,359.2
2009,2,353.33
2009,3,344.94
2009,4,344.09
2010,1,340.07
2010,2,336.15
2010,3,340.36
2010,4,338.72
2011,1,330.24
2011,2,324.31
2011,3,327.61
2011,4,330.63
2012,1,328.81
2012,2,329.7
2012,3,335.08
2012,4,338.13
2013,1,342.24
2013,2,349.21
2013,3,357.66
2013,4,360.65
2014,1,365.69
2014,2,378.21
2014,3,386.57
2014,4,392.28
2015,1,399.78
2015,2,416.32
2015,3,431.29
2015,4,437.29
2016,1,445.08
2016,2,460.8
2016,3,473.11
2016,4,480.06
2017,1,488.05
2017,2,505.22
2017,3,513.39
2017,4,520.33
2018,1,534.3
2018,2,547.93
2018,3,556.39
2018,4,558.03
2019,1,565.67
2019,2,574.63
2019,3,579.98
2019,4,584.8
2020,1,591.13
2020,2,598.1
2020,3,607.52
2020,4,620.0
2021,1,636.69
2021,2,682.42
2021,3,722.89
2021,4,743.31
2022,1,774.11
2022,2,831.58
2022,3,822.84
2022,4,803.61
2023,1,805.69
2023,2,826.64
2023,3,827.35
2023,4,818.59
2024,1,832.06
2024,2,845.06
2024,3,847.69
2024,4,848.05
2025,1,850.93
2025,2,855.85
2025,3,854.61
2025,4,859.33
