Year,Quarter,Index
1976,2,31.98
1976,3,31.7
1976,4,32.66
1977,1,33.05
1977,2,34.25
1977,3,37.43
1977,4,39.49
1978,1,41.65
1978,2,44.15
1978,3,46.79
1978,4,49.04
1979,1,51.33
1979,2,53.03
1979,3,55.2
1979,4,55.11
1980,1,56.39
1980,2,58.31
1980,3,60.8
1980,4,60.36
1981,1,61.76
1981,2,62.78
1981,3,64.81
1981,4,65.56
1982,1,68.31
1982,2,68.5
1982,3,70.26
1982,4,72.66
1983,1,72.13
1983,2,72.11
1983,3,73.23
1983,4,71.11
1984,1,73.35
1984,2,73.48
1984,3,74.25
1984,4,72.37
1985,1,73.44
1985,2,73.85
1985,3,73.65
1985,4,72.44
1986,1,74.76
1986,2,74.81
1986,3,74.65
1986,4,74.13
1987,1,74.39
1987,2,73.4
1987,3,72.74
1987,4,71.02
1988,1,71.44
1988,2,71.52
1988,3,70.75
1988,4,70.09
1989,1,70.03
1989,2,70.35
1989,3,71.58
1989,4,71.14
1990,1,71.23
1990,2,71.92
1990,3,72.52
1990,4,72.86
1991,1,73.21
1991,2,74.37
1991,3,74.85
1991,4,75.99
1992,1,77.31
1992,2,78.71
1992,3,80.53
1992,4,81.75
1993,1,83.17
1993,2,84.81
1993,3,87.17
1993,4,89.04
1994,1,91.48
1994,2,95.43
1994,3,97.62
1994,4,98.18
1995,1,100.0
1995,2,101.84
1995,3,103.7
1995,4,105.36
1996,1,106.3
1996,2,107.56
1996,3,108.85
1996,4,110.5
1997,1,112.04
1997,2,113.58
1997,3,115.48
1997,4,117.35
1998,1,118.96
1998,2,120.71
1998,3,123.5
1998,4,125.09
1999,1,127.82
1999,2,132.87
1999,3,138.41
1999,4,141.32
2000,1,147.27
2000,2,152.01
2000,3,156.51
2000,4,160.58
2001,1,164.82
2001,2,168.55
2001,3,171.9
2001,4,173.09
2002,1,175.06
2002,2,177.13
2002,3,179.21
2002,4,180.13
2003,1,180.54
2003,2,181.16
2003,3,181.67
2003,4,184.07
2004,1,185.29
2004,2,185.98
2004,3,188.19
2004,4,189.83
2005,1,191.49
2005,2,193.2
2005,3,195.21
2005,4,196.85
2006,1,195.9
2006,2,196.05
2006,3,195.89
2006,4,196.69
2007,1,195.49
2007,2,195.19
2007,3,191.99
2007,4,192.79
2008,1,193.14
2008,2,191.52
2008,3,187.68
2008,4,188.63
2009,1,192.93
2009,2,190.4
2009,3,186.36
2009,4,186.77
2010,1,185.66
2010,2,184.0
2010,3,187.0
2010,4,186.64
2011,1,182.26
2011,2,179.04
2011,3,181.56
2011,4,183.05
2012,1,182.46
2012,2,184.53
2012,3,187.68
2012,4,189.93
2013,1,193.14
2013,2,198.67
2013,3,205.46
2013,4,208.13
2014,1,211.52
2014,2,220.14
2014,3,225.07
2014,4,229.28
2015,1,233.86
2015,2,245.2
2015,3,254.47
2015,4,258.63
2016,1,263.95
2016,2,273.78
2016,3,281.17
2016,4,285.25
2017,1,291.63
2017,2,302.75
2017,3,307.51
2017,4,312.04
2018,1,320.42
2018,2,329.38
2018,3,333.84
2018,4,334.01
2019,1,338.17
2019,2,342.98
2019,3,345.27
2019,4,347.7
2020,1,351.2
2020,2,354.99
2020,3,360.9
2020,4,367.66
2021,1,378.15
2021,2,405.59
2021,3,428.56
2021,4,439.83
2022,1,459.1
2022,2,495.43
2022,3,483.46
2022,4,470.53
2023,1,473.35
2023,2,486.34
2023,3,484.98
2023,4,478.2
2024,1,489.07
2024,2,494.82
2024,3,492.43
2024,4,494.51
2025,1,495.7
2025,2,497.6
2025,3,496.13
2025,4,498.42
