Year,Month,Index
1991,1,100.0
1991,2,98.38
1991,3,100.36
1991,4,100.29
1991,5,100.74
1991,6,102.09
1991,7,101.4
1991,8,101.74
1991,9,101.9
1991,10,102.89
1991,11,104.02
1991,12,103.79
1992,1,104.32
1992,2,105.13
1992,3,105.53
1992,4,105.9
1992,5,106.48
1992,6,107.5
1992,7,107.44
1992,8,108.51
1992,9,108.71
1992,10,110.02
1992,11,110.31
1992,12,111.16
1993,1,111.61
1993,2,111.8
1993,3,112.02
1993,4,114.05
1993,5,114.94
1993,6,116.24
1993,7,116.98
1993,8,118.47
1993,9,119.5
1993,10,120.27
1993,11,121.06
1993,12,121.78
1994,1,122.23
1994,2,123.43
1994,3,124.48
1994,4,125.93
1994,5,127.66
1994,6,128.73
1994,7,129.12
1994,8,130.1
1994,9,130.46
1994,10,131.08
1994,11,131.2
1994,12,131.8
1995,1,131.4
1995,2,132.46
1995,3,132.74
1995,4,134.16
1995,5,134.66
1995,6,136.03
1995,7,136.52
1995,8,137.3
1995,9,137.84
1995,10,137.45
1995,11,137.43
1995,12,138.39
1996,1,138.06
1996,2,138.54
1996,3,139.87
1996,4,141.17
1996,5,141.29
1996,6,141.97
1996,7,142.79
1996,8,142.58
1996,9,143.04
1996,10,143.06
1996,11,142.86
1996,12,142.6
1997,1,143.05
1997,2,143.34
1997,3,144.53
1997,4,145.56
1997,5,146.02
1997,6,146.19
1997,7,146.71
1997,8,147.21
1997,9,147.23
1997,10,147.47
1997,11,147.22
1997,12,147.44
1998,1,147.37
1998,2,148.51
1998,3,149.35
1998,4,150.86
1998,5,151.41
1998,6,151.97
1998,7,152.55
1998,8,153.32
1998,9,153.46
1998,10,154.04
1998,11,154.1
1998,12,154.31
1999,1,154.52
1999,2,155.48
1999,3,157.73
1999,4,157.92
1999,5,159.29
1999,6,160.15
1999,7,160.81
1999,8,161.74
1999,9,162.73
1999,10,162.36
1999,11,162.87
1999,12,162.85
2000,1,163.91
2000,2,164.27
2000,3,165.98
2000,4,167.03
2000,5,167.98
2000,6,169.49
2000,7,169.89
2000,8,170.41
2000,9,170.42
2000,10,171.44
2000,11,172.02
2000,12,172.2
2001,1,173.52
2001,2,174.65
2001,3,175.93
2001,4,176.85
2001,5,178.54
2001,6,179.53
2001,7,179.48
2001,8,180.17
2001,9,179.88
2001,10,180.3
2001,11,181.3
2001,12,181.13
2002,1,181.65
2002,2,182.71
2002,3,183.99
2002,4,185.34
2002,5,186.13
2002,6,187.35
2002,7,187.94
2002,8,189.67
2002,9,189.28
2002,10,190.55
2002,11,190.55
2002,12,191.52
2003,1,191.62
2003,2,192.42
2003,3,194.08
2003,4,195.85
2003,5,197.05
2003,6,198.43
2003,7,200.06
2003,8,200.84
2003,9,202.46
2003,10,203.0
2003,11,203.38
2003,12,204.92
2004,1,206.64
2004,2,207.41
2004,3,210.41
2004,4,214.51
2004,5,216.43
2004,6,220.67
2004,7,222.88
2004,8,224.35
2004,9,227.69
2004,10,227.98
2004,11,230.22
2004,12,231.58
2005,1,233.26
2005,2,238.77
2005,3,242.15
2005,4,247.85
2005,5,252.26
2005,6,256.25
2005,7,259.49
2005,8,263.89
2005,9,266.64
2005,10,268.95
2005,11,270.55
2005,12,271.94
2006,1,273.2
2006,2,276.66
2006,3,279.69
2006,4,281.08
2006,5,284.95
2006,6,286.19
2006,7,285.97
2006,8,287.1
2006,9,286.0
2006,10,288.53
2006,11,288.51
2006,12,287.65
2007,1,286.84
2007,2,287.46
2007,3,290.11
2007,4,292.2
2007,5,291.88
2007,6,293.46
2007,7,291.93
2007,8,289.74
2007,9,285.91
2007,10,281.39
2007,11,278.43
2007,12,273.76
2008,1,270.29
2008,2,272.44
2008,3,269.68
2008,4,266.35
2008,5,265.3
2008,6,262.58
2008,7,258.14
2008,8,254.79
2008,9,250.18
2008,10,243.32
2008,11,236.8
2008,12,236.34
2009,1,236.84
2009,2,236.2
2009,3,229.3
2009,4,230.55
2009,5,230.24
2009,6,229.62
2009,7,228.82
2009,8,226.62
2009,9,224.2
2009,10,224.06
2009,11,223.15
2009,12,218.47
2010,1,219.4
2010,2,217.66
2010,3,216.5
2010,4,219.55
2010,5,218.69
2010,6,216.3
2010,7,215.46
2010,8,213.88
2010,9,210.05
2010,10,210.39
2010,11,204.73
2010,12,203.32
2011,1,203.0
2011,2,197.56
2011,3,196.31
2011,4,196.51
2011,5,198.71
2011,6,199.68
2011,7,200.24
2011,8,199.36
2011,9,201.05
2011,10,198.37
2011,11,198.36
2011,12,199.54
2012,1,197.5
2012,2,200.15
2012,3,203.72
2012,4,208.13
2012,5,213.14
2012,6,218.25
2012,7,219.94
2012,8,219.65
2012,9,220.64
2012,10,220.65
2012,11,222.49
2012,12,222.33
2013,1,224.13
2013,2,226.21
2013,3,230.8
2013,4,235.77
2013,5,239.66
2013,6,242.94
2013,7,244.38
2013,8,244.6
2013,9,245.07
2013,10,247.7
2013,11,244.16
2013,12,244.09
2014,1,246.62
2014,2,249.34
2014,3,249.02
2014,4,252.87
