Year,Month,Index
1991,1,100.0
1991,2,100.36
1991,3,100.67
1991,4,100.67
1991,5,100.82
1991,6,101.35
1991,7,101.29
1991,8,101.24
1991,9,101.34
1991,10,101.55
1991,11,101.99
1991,12,102.15
1992,1,102.18
1992,2,102.89
1992,3,102.99
1992,4,102.89
1992,5,103.05
1992,6,103.38
1992,7,103.68
1992,8,104.22
1992,9,104.44
1992,10,104.67
1992,11,104.88
1992,12,104.46
1993,1,104.19
1993,2,103.92
1993,3,104.51
1993,4,105.38
1993,5,105.76
1993,6,106.54
1993,7,106.56
1993,8,107.06
1993,9,107.22
1993,10,107.32
1993,11,107.57
1993,12,107.75
1994,1,107.68
1994,2,107.8
1994,3,108.5
1994,4,109.05
1994,5,109.64
1994,6,110.24
1994,7,110.35
1994,8,110.72
1994,9,110.49
1994,10,110.61
1994,11,110.7
1994,12,110.36
1995,1,110.34
1995,2,110.88
1995,3,111.08
1995,4,111.63
1995,5,112.06
1995,6,112.83
1995,7,113.35
1995,8,113.67
1995,9,113.58
1995,10,113.47
1995,11,113.54
1995,12,113.65
1996,1,113.75
1996,2,113.87
1996,3,114.71
1996,4,115.23
1996,5,115.83
1996,6,116.35
1996,7,116.73
1996,8,116.74
1996,9,116.68
1996,10,116.57
1996,11,116.69
1996,12,116.71
1997,1,116.56
1997,2,116.81
1997,3,117.71
1997,4,118.22
1997,5,119.08
1997,6,119.53
1997,7,119.8
1997,8,120.23
1997,9,120.03
1997,10,120.39
1997,11,120.54
1997,12,120.56
1998,1,120.77
1998,2,121.58
1998,3,122.47
1998,4,123.31
1998,5,124.26
1998,6,125.45
1998,7,125.76
1998,8,126.19
1998,9,126.66
1998,10,126.93
1998,11,127.5
1998,12,127.67
1999,1,128.13
1999,2,128.63
1999,3,129.71
1999,4,130.65
1999,5,131.92
1999,6,132.95
1999,7,133.65
1999,8,134.35
1999,9,134.43
1999,10,134.92
1999,11,135.15
1999,12,135.4
2000,1,136.73
2000,2,136.52
2000,3,138.07
2000,4,139.41
2000,5,140.49
2000,6,141.94
2000,7,142.64
2000,8,143.07
2000,9,143.63
2000,10,144.11
2000,11,144.59
2000,12,145.02
2001,1,145.66
2001,2,146.56
2001,3,147.89
2001,4,149.18
2001,5,150.39
2001,6,151.68
2001,7,152.5
2001,8,153.08
2001,9,153.63
2001,10,154.15
2001,11,154.2
2001,12,154.69
2002,1,155.17
2002,2,156.04
2002,3,157.58
2002,4,158.92
2002,5,160.65
2002,6,162.23
2002,7,163.3
2002,8,164.17
2002,9,164.87
2002,10,165.64
2002,11,166.0
2002,12,166.67
2003,1,167.17
2003,2,168.24
2003,3,169.44
2003,4,171.01
2003,5,172.72
2003,6,174.11
2003,7,175.48
2003,8,176.63
2003,9,177.66
2003,10,178.23
2003,11,179.01
2003,12,179.81
2004,1,180.35
2004,2,181.88
2004,3,183.87
2004,4,186.07
2004,5,188.76
2004,6,191.34
2004,7,192.91
2004,8,194.19
2004,9,195.24
2004,10,196.09
2004,11,197.16
2004,12,198.09
2005,1,198.73
2005,2,200.5
2005,3,203.34
2005,4,205.94
2005,5,208.71
2005,6,211.25
2005,7,213.29
2005,8,214.75
2005,9,216.08
2005,10,216.66
2005,11,217.24
2005,12,217.59
2006,1,218.02
2006,2,218.95
2006,3,220.71
2006,4,222.1
2006,5,223.91
2006,6,224.64
2006,7,224.42
2006,8,224.83
2006,9,224.07
2006,10,223.66
2006,11,223.38
2006,12,222.31
2007,1,222.22
2007,2,222.89
2007,3,224.59
2007,4,225.8
2007,5,226.04
2007,6,226.05
2007,7,224.74
2007,8,223.51
2007,9,221.74
2007,10,219.31
2007,11,216.88
2007,12,214.55
2008,1,211.91
2008,2,211.09
2008,3,210.0
2008,4,209.03
2008,5,208.03
2008,6,207.58
2008,7,205.57
2008,8,203.18
2008,9,200.5
2008,10,198.27
2008,11,193.89
2008,12,192.13
2009,1,192.77
2009,2,193.44
2009,3,191.76
2009,4,191.97
2009,5,193.4
2009,6,194.29
2009,7,193.63
2009,8,192.85
2009,9,191.81
2009,10,191.66
2009,11,191.5
2009,12,188.33
2010,1,187.35
2010,2,186.82
2010,3,187.33
2010,4,189.18
2010,5,190.77
2010,6,189.85
2010,7,188.66
2010,8,187.91
2010,9,185.33
2010,10,184.94
2010,11,183.62
2010,12,180.82
2011,1,178.58
2011,2,177.18
2011,3,176.22
2011,4,178.18
2011,5,179.43
2011,6,181.01
2011,7,181.37
2011,8,180.22
2011,9,180.36
2011,10,178.75
2011,11,178.73
2011,12,177.69
2012,1,175.87
2012,2,176.59
2012,3,179.19
2012,4,181.65
2012,5,184.58
2012,6,186.51
2012,7,186.86
2012,8,187.29
2012,9,187.01
2012,10,186.95
2012,11,187.26
2012,12,186.7
2013,1,186.83
2013,2,188.1
2013,3,191.6
2013,4,194.09
2013,5,197.57
