Year,CPI,HousingIndex_Colorado,HousingIndex_Denver,HousingIndex_Boulder,Mortgage_Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder
1978.25,63.4,76.05,41.96,35.44,9.2,10.09463722397479,20.618014464168333,22.306959008579597,13.769751693002252
1978.5,65.0,79.97,44.3,36.66,9.71,9.230769230769198,20.30761535575838,24.108352144469514,18.330605564648206
1978.75,66.5,84.03,46.97,38.34,9.76,8.421052631578974,15.803879566821344,18.139237811368947,17.214397496087663
1979.0,67.9,87.35,49.1,39.99,10.35,11.78203240058906,19.965655409272998,19.877800407331936,19.90497624406098
1979.25,69.9,91.71,51.54,41.98,10.43,10.252365930599371,20.591715976331358,22.831267874165874,18.453724604966148
1979.5,72.2,94.46,53.08,42.54,11.04,11.076923076923073,18.119294735525827,19.819413092550796,16.0392798690671
1979.75,74.4,97.45,55.18,44.31,11.3,11.879699248120312,15.970486730929423,17.47924206940601,15.571205007824718
1980.0,76.9,99.38,55.18,43.76,12.9,13.254786450662737,13.772180881511154,12.382892057026474,9.42735683920979
1980.25,80.1,100.0,56.55,46.47,15.28,14.592274678111572,9.039363210118868,9.720605355064027,10.695569318723198
1980.5,82.5,102.26,57.98,43.98,12.71,14.265927977839322,8.257463476603878,9.231348907309723,3.3850493653032387
1980.75,83.9,107.14,60.5,46.78,13.2,12.768817204301076,9.943560800410456,9.641174338528447,5.574362446400349
1981.0,86.4,106.58,60.16,47.4,14.79,12.353706111833551,7.24491849466693,9.025009061254075,8.3180987202925
1981.25,88.6,106.5,61.88,46.64,15.4,10.611735330836458,6.499999999999995,9.425287356321842,0.36582741553690123
1981.5,90.5,108.49,62.72,45.24,16.7,9.696969696969692,6.092313710150576,8.175232838909974,2.8649386084584005
1981.75,93.1,114.6,65.22,51.95,18.16,10.96543504171632,6.962852342729131,7.801652892561983,11.051731509191963
1982.0,94.1,110.32,65.46,52.09,16.92,8.912037037037024,3.509101144680038,8.8098404255319,9.894514767932506
1982.25,94.7,119.61,68.36,56.75,17.16,6.884875846501148,12.309859154929569,10.471881060116338,21.676672384219554
1982.5,97.0,120.71,68.56,58.88,16.7,7.182320441988943,11.26371094110057,9.311224489795933,30.15030946065429
1982.75,97.7,122.5,70.28,53.21,15.43,4.940923737916236,6.893542757417115,7.758356332413374,2.4254090471607315
1983.0,97.7,126.4,72.86,56.06,13.62,3.825717321997879,14.57577955039886,11.304613504430193,7.6214244576694234
1983.25,98.1,126.16,72.15,56.0,12.8,3.5902851108764455,5.476130758297804,5.544177881802237,-1.3215859030836996
1983.5,99.4,125.13,72.16,55.11,12.87,2.4742268041237248,3.6616684616021855,5.250875145857625,-6.402853260869568
1983.75,100.4,126.3,73.27,55.38,13.73,2.763561924257929,3.1020408163265234,4.2544109277177,4.078180793084019
1984.0,101.4,121.94,71.39,52.99,13.42,3.7871033776867957,-3.5284810126582355,-2.0175679385122103,-5.476275419193721
1984.25,102.9,126.14,73.53,56.66,13.39,4.892966360856277,-0.015852885225109414,1.9126819126819017,1.1785714285714288
1984.5,103.7,125.46,73.51,57.29,14.42,4.325955734406439,0.2637257252457337,1.8708425720620925,3.955724913808756
1984.75,104.7,125.71,74.29,57.56,14.35,4.2828685258964105,-0.46714172604909177,1.3921113689095321,3.9364391477067606
1985.0,105.5,123.39,72.52,56.99,13.18,4.043392504930954,1.189109398064625,1.5828547415604355,7.548594074353643
1985.25,106.8,126.3,73.68,58.98,13.17,3.790087463556846,0.12684319010622946,0.2039983680130586,4.094599364631124
1985.5,107.5,125.47,73.84,58.4,12.22,3.6644165863066513,0.007970667941981091,0.44891851448782827,1.9375109094082799
1985.75,108.1,126.53,73.78,58.37,12.19,3.2473734479465,0.6522949646010634,-0.6864988558352492,1.4072272411396636
1986.0,109.5,124.16,72.46,57.47,11.26,3.791469194312791,0.6240376043439522,-0.0827357970215159,0.8422530268468176
1986.25,109.1,128.76,74.76,60.38,10.08,2.1535580524344455,1.9477434679334937,1.4657980456026065,2.373685995252628
1986.5,109.4,129.47,74.84,60.78,10.68,1.7674418604651132,3.1880130708535903,1.3542795232936111,4.075342465753429
1986.75,110.0,128.61,74.7,60.98,10.01,1.757631822386685,1.6438789219948013,1.246950393060442,4.471475072811382
1987.0,110.8,127.93,74.17,59.97,9.31,1.187214611872145,3.036404639175272,2.359922715981244,4.35009570210545
1987.25,112.2,129.66,74.45,61.61,9.04,2.8414298808432603,0.6989748369058857,-0.41466024612092367,2.0370983769460116
1987.5,113.5,128.14,73.47,61.79,10.54,3.7477148080438782,-1.0272650034757191,-1.830571886691612,1.6617308325106883
1987.75,114.7,125.44,72.81,60.23,10.89,4.2727272727272725,-2.4648161107223565,-2.530120481927711,-1.2299114463758642
1988.0,115.6,124.36,71.04,60.64,10.65,4.332129963898912,-2.790588603142352,-4.220035054604276,1.117225279306333
1988.25,116.5,125.4,71.55,60.91,9.93,3.832442067736186,-3.285515964831087,-3.895231699126933,-1.136179191689668
1988.5,118.0,125.03,71.58,60.62,10.46,3.96475770925111,-2.4270329327298112,-2.5724785626786484,-1.893510276743815
1988.75,119.5,123.79,70.77,60.85,10.48,4.184829991281602,-1.3153698979591733,-2.801812937783277,1.0293873484974236
1989.0,120.7,123.41,70.09,62.23,10.61,4.4117647058823595,-0.763911225474434,-1.337274774774777,2.622031662269131
1989.25,122.2,123.43,70.09,61.52,11.03,4.892703862660941,-1.5709728867623562,-2.0405310971348567,1.0014775898867345
1989.5,124.1,124.32,70.36,62.3,10.2,5.1694915254237195,-0.5678637127089603,-1.7043867001955815,2.771362586605086
1989.75,124.8,126.85,71.64,63.48,10.13,4.435146443514637,2.471928265611112,1.2293344637558379,4.322103533278554
1990.0,126.3,126.36,71.15,63.55,9.74,4.639602319801162,2.3904059638603092,1.5123412755029264,2.1211634260003276
1990.25,128.6,126.98,71.21,64.51,10.27,5.237315875613735,2.8761241189338094,1.5979454986445818,4.860208062418736
1990.5,129.9,128.03,71.99,64.23,10.16,4.673650282030639,2.98423423423424,2.3166571915861134,3.0979133226324285
1990.75,132.5,129.0,72.5,64.56,10.18,6.169871794871806,1.6949152542372836,1.200446677833611,1.7013232514177856
1991.0,134.2,129.31,72.89,65.24,9.67,6.254948535233562,2.3345995568217814,2.4455375966268456,2.6593233674272243
1991.25,134.8,130.75,73.25,66.76,9.5,4.821150855365497,2.968971491573469,2.8647661845246475,3.4878313439776765
1991.5,136.0,132.42,74.41,67.07,9.62,4.695919938414161,3.4288838553463874,3.361577996944032,4.421609839638774
1991.75,137.0,133.59,74.89,68.6,9.01,3.396226415094339,3.558139534883731,3.2965517241379416,6.257744733581161
1992.0,138.2,135.84,75.99,70.05,8.5,2.980625931445613,5.049880133013684,4.252983948415423,7.37277743715512
1992.25,139.1,137.75,77.34,71.17,8.94,3.189910979228472,5.3537284894837445,5.583617747440273,6.605751947273819
1992.5,140.1,140.83,78.78,74.26,8.51,3.0147058823529305,6.351004380003045,5.872866550194877,10.720143134039084
1992.75,141.1,143.9,80.57,75.87,7.92,2.9927007299270114,7.71764353619282,7.584457203899042,10.597667638483976
1993.0,142.3,146.61,81.81,78.3,8.22,2.966714905933454,7.928445229681991,7.658902487169383,11.777301927194861
1993.25,143.3,149.3,83.23,80.53,7.5,3.0194104960460155,8.384754990925591,7.615722782518741,13.151608823942663
1993.5,144.3,152.95,84.85,83.01,7.42,2.9978586723768963,8.606120854931465,7.705001269357692,11.782924858604904
1993.75,145.0,157.28,87.2,85.76,6.92,2.7639971651311157,9.298123697011818,8.228869306193376,13.035455384209826
1994.0,146.3,161.16,89.07,88.27,7.17,2.8109627547435068,9.924288929813784,8.874220755408867,12.733077905491697
1994.25,147.1,165.88,91.51,92.59,7.68,2.6517794836008246,11.105157401205613,9.948335936561348,14.975785421582021
1994.5,147.9,173.52,95.52,96.84,8.4,2.494802494802495,13.44883949002944,12.575132586918091,16.660643295988443
1994.75,149.3,177.82,97.62,99.04,8.64,2.965517241379323,13.059511698880977,11.949541284403665,15.48507462686568
1995.0,150.1,179.31,98.22,99.22,9.2,2.597402597402576,11.262099776619516,10.272819131020562,12.405120652543333
1995.25,151.2,182.61,100.0,100.0,8.46,2.7872195785180187,10.085604051121312,9.277674571085125,8.00302408467437
1995.5,152.4,186.23,101.89,102.91,7.57,3.0425963488843744,7.324804057169199,6.668760469011725,6.268071045022716
1995.75,153.1,189.93,103.74,104.07,7.64,2.54521098459477,6.810257563828603,6.269207129686527,5.078756058158307
1996.0,153.9,192.83,105.38,105.23,7.2,2.5316455696202667,7.540014500027881,7.289757686825493,6.057246522878468
1996.25,155.5,195.2,106.32,105.84,7.62,2.8439153439153486,6.89447456327692,6.319999999999992,5.840000000000001
1996.5,156.7,197.71,107.62,106.81,8.32,2.8215223097112663,6.164420340439247,5.623711846108548,3.789719172092121
1996.75,157.7,199.9,108.89,107.12,8.23,3.0045721750489918,5.249302374559051,4.9643339117023455,2.93071970788894
1997.0,159.1,202.65,110.54,109.89,7.6,3.378817413905133,5.092568583726598,4.8965648130575135,4.428394944407477
1997.25,159.8,204.79,112.07,109.94,7.9,2.7652733118971096,4.912909836065582,5.408201655379985,3.873771730914588
1997.5,160.2,207.45,113.62,111.34,7.69,2.233567326100827,4.926407364321461,5.575171901133613,4.241175919857687
