Year,CPI,HousingIndex_Colorado,HousingIndex_Denver,HousingIndex_Boulder,Mortgage_Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder,CPI_monthly,HousingIndex_USA,HousingIndex_Mountain,Mortgage_Rate_monthly,Consumer_Inflation_Rate_monthly,House_Inflation_Rate_USA,House_Inflation_Rate_Mountain
1991.25,134.8,130.75,73.25,66.76,9.5,4.821150855365497,2.968971491573469,2.8647661845246475,3.4878313439776765,134.8,100.48,100.69,9.5,2.670623145400519,-1.6719745222930182,-3.575330221471873
1991.5,136.0,132.42,74.41,67.07,9.62,4.695919938414161,3.4288838553463874,3.361577996944032,4.421609839638774,136.0,100.51,101.55,9.62,1.764705882352935,0.4775644214504382,-2.127031019202219
1991.75,137.0,133.59,74.89,68.6,9.01,3.396226415094339,3.558139534883731,3.2965517241379416,6.257744733581161,137.0,100.62,101.78,9.01,1.751824817518166,3.697078115682828,8.842601689919327
1992.0,138.2,135.84,75.99,70.05,8.5,2.980625931445613,5.049880133013684,4.252983948415423,7.37277743715512,138.2,101.88,103.66,8.5,0.8683068017369067,4.240282685512398,9.376808797993519
1992.25,139.1,137.75,77.34,71.17,8.94,3.189910979228472,5.3537284894837445,5.583617747440273,6.605751947273819,139.1,102.82,105.99,8.94,3.189910979228472,2.32882165605095,5.263680603833554
1992.5,140.1,140.83,78.78,74.26,8.51,3.0147058823529305,6.351004380003045,5.872866550194877,10.720143134039084,140.1,102.53,106.97,8.51,3.0147058823529305,2.0097502736046158,5.337272279665184
1992.75,141.1,143.9,80.57,75.87,7.92,2.9927007299270114,7.71764353619282,7.584457203899042,10.597667638483976,141.1,103.72,108.44,7.92,2.9927007299270114,3.0808984297356234,6.543525250540383
1993.0,142.3,146.61,81.81,78.3,8.22,2.966714905933454,7.928445229681991,7.658902487169383,11.777301927194861,142.3,104.22,111.17,8.22,2.966714905933454,2.29681978798586,7.244838896392047
1993.25,143.3,149.3,83.23,80.53,7.5,3.0194104960460155,8.384754990925591,7.615722782518741,13.151608823942663,143.3,104.39,112.55,7.5,3.0194104960460155,1.5269402839914514,6.189263138031897
1993.5,144.3,152.95,84.85,83.01,7.42,2.9978586723768963,8.606120854931465,7.705001269357692,11.782924858604904,144.3,105.62,115.65,7.42,2.9978586723768963,3.0137520725641354,8.114424605029447
1993.75,145.0,157.28,87.2,85.76,6.92,2.7639971651311157,9.298123697011818,8.228869306193376,13.035455384209826,145.0,106.46,119.15,6.92,2.7639971651311157,2.6417277284997986,9.876429361859106
1994.0,146.3,161.16,89.07,88.27,7.17,2.8109627547435068,9.924288929813784,8.874220755408867,12.733077905491697,146.3,107.53,121.75,7.17,2.8109627547435068,3.1759739013625055,9.51695601331295
1994.25,147.1,165.88,91.51,92.59,7.68,2.6517794836008246,11.105157401205613,9.948335936561348,14.975785421582021,147.1,108.39,124.95,7.68,2.6517794836008246,3.8317846537024636,11.017325633051978
1994.5,147.9,173.52,95.52,96.84,8.4,2.494802494802495,13.44883949002944,12.575132586918091,16.660643295988443,147.9,109.26,128.12,8.4,2.494802494802495,3.4463169854194176,10.782533506268921
1994.75,149.3,177.82,97.62,99.04,8.64,2.965517241379323,13.059511698880977,11.949541284403665,15.48507462686568,149.3,109.72,129.97,8.64,2.965517241379323,3.0621829795228317,9.080990348300455
1995.0,150.1,179.31,98.22,99.22,9.2,2.597402597402576,11.262099776619516,10.272819131020562,12.405120652543333,150.1,110.23,131.91,9.2,2.597402597402576,2.5109271831116997,8.344969199178642
1995.25,151.2,182.61,100.0,100.0,8.46,2.7872195785180187,10.085604051121312,9.277674571085125,8.00302408467437,151.2,110.99,133.19,8.46,2.7872195785180187,2.398745271704028,6.594637855142049
1995.5,152.4,186.23,101.89,102.91,7.57,3.0425963488843744,7.324804057169199,6.668760469011725,6.268071045022716,152.4,111.76,135.43,7.57,3.0425963488843744,2.2881200805418223,5.705588510771165
1995.75,153.1,189.93,103.74,104.07,7.64,2.54521098459477,6.810257563828603,6.269207129686527,5.078756058158307,153.1,112.82,137.26,7.64,2.54521098459477,2.825373678454235,5.608986689235973
1996.0,153.9,192.83,105.38,105.23,7.2,2.5316455696202667,7.540014500027881,7.289757686825493,6.057246522878468,153.9,113.57,138.57,7.2,2.5316455696202667,3.0300281230154935,5.04889697521036
1996.25,155.5,195.2,106.32,105.84,7.62,2.8439153439153486,6.89447456327692,6.319999999999992,5.840000000000001,155.5,114.57,140.25,7.62,2.8439153439153486,3.2255158122353356,5.300698250619407
1996.5,156.7,197.71,107.62,106.81,8.32,2.8215223097112663,6.164420340439247,5.623711846108548,3.789719172092121,156.7,115.2,141.33,8.32,2.8215223097112663,3.078024337866858,4.356494129808763
1996.75,157.7,199.9,108.89,107.12,8.23,3.0045721750489918,5.249302374559051,4.9643339117023455,2.93071970788894,157.7,115.89,142.33,8.23,3.0045721750489918,2.7211487324942496,3.6937199475448157
1997.0,159.1,202.65,110.54,109.89,7.6,3.378817413905133,5.092568583726598,4.8965648130575135,4.428394944407477,159.1,116.68,142.99,7.6,3.378817413905133,2.738399225147492,3.1897236053979983
1997.25,159.8,204.79,112.07,109.94,7.9,2.7652733118971096,4.912909836065582,5.408201655379985,3.873771730914588,159.8,117.58,144.81,7.9,2.7652733118971096,2.6272148031770914,3.251336898395718
1997.5,160.2,207.45,113.62,111.34,7.69,2.233567326100827,4.926407364321461,5.575171901133613,4.241175919857687,160.2,118.28,145.54,7.69,2.233567326100827,2.673611111111107,2.9788438406566087
1997.75,161.2,210.77,115.52,112.92,7.43,2.21940393151554,5.437718859429719,6.0887133804756965,5.414488424197161,161.2,119.19,146.58,7.43,2.21940393151554,2.8475278281128613,2.9860184079252505
1998.0,161.8,214.05,117.39,114.89,7.1,1.6970458830924073,5.625462620281274,6.196851818346305,4.5500045500045605,161.8,120.6,148.03,7.1,1.6970458830924073,3.3596160438806866,3.5247220085320663
1998.25,162.0,217.06,119.0,116.47,7.13,1.3767209011263937,5.9915034913814225,6.183635227982509,5.93960342004729,162.0,122.31,149.48,7.13,1.3767209011263937,4.022792992005453,3.2249154063945795
1998.5,162.8,219.69,120.76,117.46,7.0,1.6229712858926382,5.900216919739698,6.284104911107202,5.4966768456978565,162.8,124.14,151.18,7.0,1.6229712858926382,4.9543456205613845,3.8752233063075625
1998.75,163.5,223.69,123.52,120.21,6.72,1.4267990074441794,6.129904635384542,6.9252077562326875,6.455897980871406,163.5,125.79,152.89,6.72,1.4267990074441794,5.537377296753099,4.3048164824669
1999.0,164.4,226.42,125.13,121.81,6.72,1.606922126081578,5.779023592618526,6.593406593406592,6.023152580729385,164.4,127.73,155.03,6.72,1.606922126081578,5.912106135986739,4.7287711950280364
1999.25,164.8,230.81,127.89,124.16,7.04,1.7283950617283939,6.334654012715379,7.470588235294118,6.6025585987808055,164.8,129.55,157.87,7.04,1.7283950617283939,5.919385168833302,5.612791008830631
1999.5,166.0,237.89,132.91,128.83,7.55,1.9656019656019597,8.284400746506426,10.061278569062605,9.679891026732523,166.0,131.56,159.22,7.55,1.9656019656019597,5.977122603512175,5.31816377827754
1999.75,167.8,245.74,138.5,135.16,7.82,2.629969418960254,9.85739192632662,12.127590673575138,12.436569336993596,167.8,133.47,162.28,7.82,2.629969418960254,6.105413784879565,6.1416704820459245
2000.0,168.8,250.0,141.37,137.38,7.91,2.676399026763998,10.41427435738893,12.97850235754816,12.782201789672442,168.8,135.51,163.7,7.91,2.676399026763998,6.090973146480838,5.592465974327543
2000.25,171.0,259.43,147.29,143.64,8.24,3.762135922330101,12.399809367011837,15.169286105246682,15.689432989690722,171.0,137.96,166.02,8.24,3.762135922330101,6.491702045542258,5.162475454487869
2000.5,172.2,265.82,152.08,149.67,8.29,3.7349397590361377,11.740720501071934,14.423293958317673,16.176356438717665,172.2,140.45,168.5,8.29,3.7349397590361377,6.757373061720884,5.828413515889963
2000.75,173.6,272.76,156.57,154.8,7.91,3.45649582836709,10.995360950598187,13.046931407942242,14.530926309559057,173.6,142.59,169.83,7.91,3.45649582836709,6.832996178916617,4.652452551146169
2001.0,174.6,278.87,160.61,157.78,7.38,3.4360189573459543,11.548000000000002,13.609676734809373,14.849323045567054,174.6,145.12,172.85,7.38,3.4360189573459543,7.091727547782467,5.589492974954191
2001.25,176.1,286.68,164.87,162.96,6.95,2.9824561403508643,10.50379678525999,11.935637178355641,13.450292397660846,176.1,147.82,176.02,6.95,2.9824561403508643,7.146999130182641,6.023370678231532
2001.5,177.7,292.51,168.62,166.47,7.16,3.193960511033689,10.040628997065681,10.875854813256169,11.224694327520556,177.7,150.07,178.39,7.16,3.193960511033689,6.849412602349592,5.869436201780398
2001.75,178.1,297.91,171.96,171.35,6.82,2.5921658986175045,9.220560199442751,9.829469246982182,10.691214470284226,178.1,152.41,179.14,6.82,2.5921658986175045,6.886878462725288,5.481952540776058
2002.0,177.4,300.33,173.19,171.69,7.07,1.603665521191311,7.695341915587894,7.832638067368158,8.816073013056158,177.4,154.82,181.72,7.07,1.603665521191311,6.684123484013216,5.131617008967315
2002.25,178.5,303.84,175.16,173.34,7.01,1.3628620102214661,5.985768103809108,6.241281009280031,6.369661266568483,178.5,157.61,184.31,7.01,1.3628620102214661,6.622919767284552,4.7096920804454045
2002.5,179.6,307.17,177.22,174.96,6.65,1.0692177827799743,5.011794468565189,5.10022535879493,5.100018021265096,179.6,160.53,185.93,6.65,1.0692177827799743,6.970080629039788,4.226694321430591
2002.75,180.8,311.55,179.31,176.85,6.09,1.516002245929271,4.57856399583767,4.27424982554081,3.209804493726298,180.8,163.56,188.44,6.09,1.516002245929271,7.315792926973308,5.191470358378925
2003.0,181.8,313.46,180.22,177.91,6.05,2.4802705749718212,4.37185762328105,4.059125815578257,3.622808550294132,181.8,166.87,192.34,6.05,2.4802705749718212,7.783232140550322,5.844155844155852
