frame,var1,var2,delta_corr
df,Consumer_Inflation_Rate,Consumer_Inflation_Rate,0.0
df,Consumer_Inflation_Rate,Mortgage_Rate,0.00023521449288274598
df,Consumer_Inflation_Rate,House_Inflation_Rate_USA,-0.010557063290444202
df,Consumer_Inflation_Rate,House_Inflation_Rate_Mountain,-0.0076339447768630775
df,Mortgage_Rate,Consumer_Inflation_Rate,0.00023521449288274598
df,Mortgage_Rate,Mortgage_Rate,0.0
df,Mortgage_Rate,House_Inflation_Rate_USA,0.005502126775226934
df,Mortgage_Rate,House_Inflation_Rate_Mountain,0.004721171029430954
df,House_Inflation_Rate_USA,Consumer_Inflation_Rate,-0.010557063290444202
df,House_Inflation_Rate_USA,Mortgage_Rate,0.005502126775226934
df,House_Inflation_Rate_USA,House_Inflation_Rate_USA,0.0
df,House_Inflation_Rate_USA,House_Inflation_Rate_Mountain,-0.0018731769074146198
df,House_Inflation_Rate_Mountain,Consumer_Inflation_Rate,-0.0076339447768630775
df,House_Inflation_Rate_Mountain,Mortgage_Rate,0.004721171029430954
df,House_Inflation_Rate_Mountain,House_Inflation_Rate_USA,-0.0018731769074146198
df,House_Inflation_Rate_Mountain,House_Inflation_Rate_Mountain,0.0
df1,Consumer_Inflation_Rate,Consumer_Inflation_Rate,0.0
df1,Consumer_Inflation_Rate,Mortgage_Rate,3.279960442836849e-05
df1,Mortgage_Rate,Consumer_Inflation_Rate,3.279960442836849e-05
df1,Mortgage_Rate,Mortgage_Rate,0.0
df2,Consumer_Inflation_Rate,Consumer_Inflation_Rate,0.0
df2,Consumer_Inflation_Rate,Mortgage_Rate,6.36751954306014e-05
df2,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,-0.0016193188776683631
df2,Consumer_Inflation_Rate,House_Inflation_Rate_Denver,0.002911287124957529
df2,Consumer_Inflation_Rate,House_Inflation_Rate_Boulder,0.0018809428349337298
df2,Mortgage_Rate,Consumer_Inflation_Rate,6.36751954306014e-05
df2,Mortgage_Rate,Mortgage_Rate,0.0
df2,Mortgage_Rate,House_Inflation_Rate_Colorado,3.471353741269986e-05
df2,Mortgage_Rate,House_Inflation_Rate_Denver,0.0013261701749000578
df2,Mortgage_Rate,House_Inflation_Rate_Boulder,-0.001069243620300607
df2,House_Inflation_Rate_Colorado,Consumer_Inflation_Rate,-0.0016193188776683631
df2,House_Inflation_Rate_Colorado,Mortgage_Rate,3.471353741269986e-05
df2,House_Inflation_Rate_Colorado,House_Inflation_Rate_Colorado,0.0
df2,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,-0.0010715770354533527
df2,House_Inflation_Rate_Colorado,House_Inflation_Rate_Boulder,0.005772417097686167
df2,House_Inflation_Rate_Denver,Consumer_Inflation_Rate,0.002911287124957529
df2,House_Inflation_Rate_Denver,Mortgage_Rate,0.0013261701749000578
df2,House_Inflation_Rate_Denver,House_Inflation_Rate_Colorado,-0.0010715770354533527
df2,House_Inflation_Rate_Denver,House_Inflation_Rate_Denver,0.0
df2,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder,0.0014409137882090972
df2,House_Inflation_Rate_Boulder,Consumer_Inflation_Rate,0.0018809428349337298
df2,House_Inflation_Rate_Boulder,Mortgage_Rate,-0.001069243620300607
df2,House_Inflation_Rate_Boulder,House_Inflation_Rate_Colorado,0.005772417097686167
df2,House_Inflation_Rate_Boulder,House_Inflation_Rate_Denver,0.0014409137882090972
df2,House_Inflation_Rate_Boulder,House_Inflation_Rate_Boulder,0.0
